symbol,n_configs,sharpe_median,sharpe_std,sharpe_iqr,sharpe_min,sharpe_max,sharpe_share_negative
SMH,16,0.7242098218001192,0.10709026405524731,0.146889522102291,0.5795963631777235,0.9285582293864968,0.0
QQQ,16,0.7156560827151437,0.14984572934905332,0.23811654323438736,0.3869851764231927,0.9054637512731668,0.0
XLK,16,0.6661433792343532,0.11974429232253456,0.17181804127852163,0.3706344193614658,0.7682536655622851,0.0
GLD,16,0.5180140349943485,0.14740385827431335,0.15803852577895994,0.15653937915445,0.6282408307256508,0.0
SPY,16,0.3972983549041968,0.11379602322353288,0.12961797261333907,0.1892181290553141,0.601292184771468,0.0
XLF,16,0.3567288949696361,0.19475477596704682,0.13755227715344814,-0.0905969236811914,0.6846180759983252,0.0625
IWM,16,0.3321954118851893,0.11637572118486518,0.08966466580511101,0.2088427680776546,0.626308956681845,0.0
XLE,16,0.03198247039884655,0.1185328169827145,0.17149320376365132,-0.1001284156652284,0.3291511805837496,0.375
TLT,16,-0.041504043180852546,0.17046833481972065,0.23222043425829322,-0.4194901067361466,0.1572626061121882,0.5625
