symbol,provider,horizon,lookback,min_samples,total_return,max_drawdown,sharpe,trade_count,win_rate,exposure_time,benchmark_total_return
SMH,default,5,252,10,4.604962544295517,-0.3016045041164961,0.6625727650498646,434,0.5599078341013825,0.5270828273014331,38.15130190007037
QQQ,default,5,252,10,3.203324455648789,-0.2266660016803539,0.6989415478338938,484,0.609504132231405,0.5878066553315521,14.27208099956915
XLK,default,5,252,10,3.1630545710076365,-0.22274735952442115,0.6820141742749166,470,0.5893617021276596,0.5708039834831188,14.142611683848795
XLF,default,5,252,10,1.990318639495742,-0.34008600006682665,0.5838681849490839,409,0.5623471882640587,0.4967209132863736,3.283319362950545
GLD,default,5,252,10,1.1327748420198471,-0.28631211825144876,0.5106625546742768,326,0.5521472392638037,0.395919358756376,2.8004553734061934
IWM,default,5,252,10,0.8113281887343546,-0.3730998892068137,0.3279456955091714,412,0.5533980582524272,0.5003643429681807,3.3388558924663965
SPY,default,5,252,10,0.6006128486786793,-0.29406651910398673,0.32234378779849826,445,0.5685393258426966,0.5404420694680593,5.522280067060795
TLT,default,5,252,10,-0.007930097026140004,-0.20859129426069012,0.036916462031282925,249,0.5060240963855421,0.30240466358999274,-0.0684778977842112
XLE,default,5,252,10,-0.23524501309685575,-0.46615686186739913,-0.04387909620458089,312,0.5128205128205128,0.37891668690794267,1.0210812648758925
