symbol,model,total_return,max_drawdown,sharpe,trade_count,win_rate,avg_win,avg_loss,exposure_time,bars,excess_vs_buy_hold
SPY,state_ev_strategy,0.6006128486786793,-0.29406651910398673,0.32234378779849826,445.0,0.5685393258426966,0.014278593418550922,-0.015866561879797143,0.5404420694680593,,-4.921667218382116
SPY,buy_and_hold,5.522280067060795,,,,,,,,4117.0,0.0
SPY,ma_crossover,2.3729989678755756,,,,,,,0.7828515909642944,4117.0,-3.14928109918522
SPY,breakout,0.18623992997088368,,,172.0,0.5813953488372093,,,0.20888996842360943,,-5.3360401370899115
QQQ,state_ev_strategy,3.203324455648789,-0.2266660016803539,0.6989415478338938,484.0,0.609504132231405,0.018766410672956035,-0.020848556416342753,0.5878066553315521,,-11.068756543920362
QQQ,buy_and_hold,14.27208099956915,,,,,,,,4117.0,0.0
QQQ,ma_crossover,8.43967529521372,,,,,,,0.8000971581248482,4117.0,-5.8324057043554305
QQQ,breakout,0.12715117243031893,,,179.0,0.5642458100558659,,,0.21739130434782608,,-14.144929827138832
IWM,state_ev_strategy,0.8113281887343546,-0.3730998892068137,0.3279456955091714,412.0,0.5533980582524272,0.020550343674895697,-0.021327952283183762,0.5003643429681807,,-2.5275277037320416
IWM,buy_and_hold,3.3388558924663965,,,,,,,,4117.0,0.0
IWM,ma_crossover,0.4506295454574547,,,,,,,0.6890940004857906,4117.0,-2.888226347008942
IWM,breakout,-0.01976330493229428,,,105.0,0.4857142857142857,,,0.12752003886324995,,-3.3586191973986907
XLK,state_ev_strategy,3.1630545710076365,-0.22274735952442115,0.6820141742749166,470.0,0.5893617021276596,0.019835848302071673,-0.0202108864695319,0.5708039834831188,,-10.979557112841158
XLK,buy_and_hold,14.142611683848795,,,,,,,,4117.0,0.0
XLK,ma_crossover,6.3867851122815775,,,,,,,0.7937818800097158,4117.0,-7.755826571567217
XLK,breakout,0.2676011769228812,,,175.0,0.5942857142857143,,,0.21253339810541658,,-13.875010506925914
SMH,state_ev_strategy,4.604962544295517,-0.3016045041164961,0.6625727650498646,434.0,0.5599078341013825,0.028269679054307106,-0.025475655536546443,0.5270828273014331,,-33.546339355774855
SMH,buy_and_hold,38.15130190007037,,,,,,,,4117.0,0.0
SMH,ma_crossover,15.631022899133018,,,,,,,0.7410735972795724,4117.0,-22.520279000937354
SMH,breakout,0.5006384281491094,,,150.0,0.5733333333333334,,,0.18217148409035705,,-37.65066347192126
XLE,state_ev_strategy,-0.23524501309685575,-0.46615686186739913,-0.04387909620458089,312.0,0.5128205128205128,0.02392745172587072,-0.025856751214473422,0.37891668690794267,,-1.2563262779727482
XLE,buy_and_hold,1.0210812648758925,,,,,,,,4117.0,0.0
XLE,ma_crossover,1.133918827405354,,,,,,,0.5567160553801311,4117.0,0.11283756252946153
XLE,breakout,0.5387265684611906,,,83.0,0.6626506024096386,,,0.10080155452999758,,-0.48235469641470186
XLF,state_ev_strategy,1.990318639495742,-0.34008600006682665,0.5838681849490839,409.0,0.5623471882640587,0.019842809046422872,-0.018615128116592796,0.4967209132863736,,-1.2930007234548029
XLF,buy_and_hold,3.283319362950545,,,,,,,,4117.0,0.0
XLF,ma_crossover,1.3060080823582814,,,,,,,0.6946805926645616,4117.0,-1.9773112805922635
XLF,breakout,0.09340982599757264,,,128.0,0.5078125,,,0.1554529997571047,,-3.189909536952972
GLD,state_ev_strategy,1.1327748420198471,-0.28631211825144876,0.5106625546742768,326.0,0.5521472392638037,0.017432102469362255,-0.01573749695946629,0.395919358756376,,-1.6676805313863463
GLD,buy_and_hold,2.8004553734061934,,,,,,,,4117.0,0.0
GLD,ma_crossover,1.4950888785204346,,,,,,,0.6067524896769493,4117.0,-1.3053664948857588
GLD,breakout,0.005433586190437101,,,87.0,0.5287356321839081,,,0.1056594607724071,,-2.7950217872157563
TLT,state_ev_strategy,-0.007930097026140004,-0.20859129426069012,0.036916462031282925,249.0,0.5060240963855421,0.016320529186039982,-0.01629890271617879,0.30240466358999274,,0.0605478007580712
TLT,buy_and_hold,-0.0684778977842112,,,,,,,,4117.0,0.0
TLT,ma_crossover,0.18627928778192815,,,,,,,0.466844789895555,4117.0,0.25475718556613935
TLT,breakout,-0.15947351913920338,,,56.0,0.375,,,0.0680106873937333,,-0.09099562135499217
